photo,room_num,area,price,orientation,h_num,s_num
https://img.0756fang.com/Upload/Dictionary/2018-03/a842b24a-b3a8-4ba3-8f76-7b838385ae66.jpg,1室0厅0卫,16.0㎡,75000元,南,0,127
https://img.0756fang.com/Upload/Dictionary/2018-03/a842b24a-b3a8-4ba3-8f76-7b838385ae66.jpg,1室0厅0卫,25.0㎡,84000元,南,1,127
https://img.0756fang.com/Upload/Dictionary/2016-08/b01d77a6-59b6-40ff-9b22-6ab21c5b359c.png,1室1厅1卫,0㎡,0元,南,0,17
https://img.0756fang.com/Upload/fyEstate/160410151910E9B06FDFF80F52E4E9A8.jpg,0室0厅0卫,0㎡,0元,,0,2254
https://img.0756fang.com/Upload/fyEstate/1604101520301711F399EC9D5C54F43F.jpg,0室0厅0卫,0㎡,0元,,1,2254
https://img.0756fang.com/Upload/fyEstate/1604101519493812DE52BFBDB5693D6A.jpg,0室0厅0卫,0㎡,0元,,2,2254
https://img.0756fang.com/Upload/fyEstate/16041015195975FC4399165D666389D7.jpg,0室0厅0卫,0㎡,0元,,3,2254
https://img.0756fang.com/Upload/fyEstate/160410152010B601DAE69758EB242D76.jpg,0室0厅0卫,0㎡,0元,,4,2254
https://img.0756fang.com/Upload/fyEstate/1604101520202C82B5DA3C63ED2DF01A.jpg,0室0厅0卫,0㎡,0元,,5,2254
https://img.0756fang.com/Upload/fyEstate/1604101520301711F399EC9D5C54F43F.jpg,0室0厅0卫,0㎡,0元,,6,2254
https://img.0756fang.com/Upload/fyEstate/1604101520410C6D8C6FEBA97D031AFA.jpg,0室0厅0卫,0㎡,0元,,7,2254
https://img.0756fang.com/Upload/Dictionary/2017-03/d5b4cca4-c8c7-4db0-9167-687cf71943ef.jpg,1室1厅1卫,61.0㎡,28852元,南,0,42
https://img.0756fang.com/Upload/Dictionary/2021-08/s256BFBFF59B34484B5F1FED9D19F5920.jpg,0室0厅1卫,45.0㎡,31111元,东,0,2140
https://img.0756fang.com/Upload/Dictionary/2021-08/sCC476CF062B745BCAA862046EEB59B70.jpg,0室0厅1卫,75.0㎡,30000元,东南,1,2140
https://img.0756fang.com/Upload/Dictionary/2021-08/sDCE8525EB0F64821B93ED41B25F964CA.jpg,0室0厅1卫,60.0㎡,29666元,东,2,2140
https://img.0756fang.com/Upload/Dictionary/2021-08/s795C22B1A95A4E00A907329CC4C0D114.jpg,0室0厅0卫,0㎡,0元,,3,2140
https://img.0756fang.com/Upload/Dictionary/2021-07/sF9D080EC9C4649C1A3DEABFCD9980AC3.jpg,2室2厅1卫,78.2㎡,28516元,西,0,2166
https://img.0756fang.com/Upload/Dictionary/2021-07/sD6BFA9CB656840C3859B8F196685F92C.jpg,3室2厅2卫,103.8㎡,25529元,北,1,2166
https://img.0756fang.com/Upload/Dictionary/2022-06/202206210641224884.jpeg,4室2厅2卫,132.0㎡,25757元,南,2,2166
https://img.0756fang.com/Upload/Dictionary/2021-10/202110240415251713.jpg,0室0厅0卫,31.0㎡,28064元,南,3,2166
https://img.0756fang.com/Upload/Dictionary/2022-10/202210240121431355.png,2室2厅1卫,67.0㎡,23880元,南,0,2283
https://img.0756fang.com/Upload/Dictionary/2022-10/202210240335007363.png,3室2厅1卫,76.0㎡,23684元,南,1,2283
https://img.0756fang.com/Upload/Dictionary/2022-10/202210240335201161.jpg,3室2厅2卫,89.0㎡,20224元,南,2,2283
https://img.0756fang.com/Upload/Dictionary/2022-10/202210240335375078.jpg,3室2厅2卫,95.0㎡,23684元,南,3,2283
https://img.0756fang.com/Upload/Dictionary/2022-10/202210240336597018.png,4室2厅2卫,98.0㎡,2397元,南,4,2283
https://img.0756fang.com/Upload/Dictionary/2022-10/202210240338203226.jpg,5室2厅2卫,125.0㎡,24000元,南北通,5,2283
https://img.0756fang.com/Upload/Dictionary/2023-03/202303240144380610.jpg,3室2厅2卫,87.0㎡,20114元,东南,0,2300
https://img.0756fang.com/Upload/Dictionary/2023-03/202303240148420150.jpg,4室2厅2卫,107.0㎡,21495元,南北通,1,2300
https://img.0756fang.com/Upload/Dictionary/2023-03/202303240149515021.jpg,3室2厅2卫,94.0㎡,21276元,南北通,2,2300
https://img.0756fang.com/Upload/Dictionary/2023-03/202303240151011604.png,3室2厅2卫,87.0㎡,20114元,东南,3,2300
https://img.0756fang.com/Upload/Dictionary/2022-11/202211070958446312.jpg,3室2厅2卫,192.0㎡,31250元,南,0,1214
https://img.0756fang.com/Upload/Dictionary/2021-09/210927105713A4BF1F080E0E4660B9FB.jpg,3室2厅2卫,300.0㎡,43333元,南北通,1,1214
https://img.0756fang.com/Upload/Dictionary/2021-09/21092710571467D6DE75036049A8AAD0.jpg,3室2厅3卫,230.0㎡,39565元,南北通,2,1214
https://img.0756fang.com/Upload/Dictionary/2021-10/202110180940481842.jpg,2室2厅1卫,57.0㎡,29824元,西,0,2188
https://img.0756fang.com/Upload/Dictionary/2021-10/202110200944455600.jpg,2室2厅1卫,72.0㎡,29166元,西,1,2188
https://img.0756fang.com/Upload/Dictionary/2021-10/202110200943173718.jpg,3室2厅2卫,100.0㎡,38000元,南,2,2188
https://img.0756fang.com/Upload/Dictionary/2021-10/202110200958238751.jpg,3室2厅1卫,94.0㎡,32978元,东,3,2188
https://img.0756fang.com/Upload/Dictionary/2018-07/ece44f18-6670-43f3-9a38-ac23afe5648e.jpg,6室4厅3卫,210.0㎡,85714元,南北通,0,1186
https://img.0756fang.com/Upload/Dictionary/2018-07/55fa8768-fd67-41d6-84ba-2ac5e6640f46.jpg,6室5厅5卫,230.0㎡,86956元,南北通,1,1186
https://img.0756fang.com/Upload/Dictionary/2021-07/s4A1361F6037647A3B842A70B5AE35815.jpg,3室2厅1卫,86.0㎡,30232元,南,0,2162
https://img.0756fang.com/Upload/Dictionary/2021-07/s48CC07FE40E142068599AC2186F3CCD6.jpg,3室2厅2卫,98.0㎡,30408元,南,1,2162
https://img.0756fang.com/Upload/Dictionary/2021-07/s0DA0CC6CE0344DA0A9FEBE2E43894103.jpg,2室2厅1卫,69.0㎡,30434元,西,2,2162
https://img.0756fang.com/Upload/Dictionary/2021-07/s4A1361F6037647A3B842A70B5AE35815.jpg,3室2厅1卫,89.0㎡,29213元,东,3,2162
https://img.0756fang.com/Upload/Dictionary/2020-12/sB77A22A711DB43DB9ED453FB051A572D.jpg,3室2厅2卫,114.0㎡,30701元,南,0,2112
https://img.0756fang.com/Upload/Dictionary/2020-12/sCA9E1444C493472DA00044A533C02389.jpg,3室2厅2卫,129.3㎡,33488元,南,1,2112
https://img.0756fang.com/Upload/Dictionary/2022-05/202205011106558681.jpg,3室2厅2卫,96.0㎡,27083元,南,0,2261
https://img.0756fang.com/Upload/Dictionary/2022-05/202205011110134781.jpg,4室2厅2卫,115.0㎡,30956元,东南,1,2261
https://img.0756fang.com/Upload/Dictionary/2022-05/202205011112465272.jpg,4室2厅2卫,142.0㎡,30985元,南北通,2,2261
https://img.0756fang.com/Upload/Dictionary/2021-10/21100210124179A61578FD5F4AE89058.jpg,4室2厅2卫,132.0㎡,29545元,南北通,0,2183
https://img.0756fang.com/Upload/Dictionary/2021-10/211002101241AECA985BCE2045D8A843.jpg,3室2厅2卫,116.0㎡,28965元,南北通,1,2183
https://img.0756fang.com/Upload/Dictionary/2021-10/211002101823F8BD34B3E7114C1B8262.jpg,3室2厅2卫,97.0㎡,34020元,南北通,2,2183
